2.114	-0.44
2.114	-0.44
2.114	-0.44
2.115	-0.44
2.115	-0.44
2.115	-0.44
2.115	-0.44
2.116	-0.44
2.118	-0.44
2.117	-0.44
2.117	-0.44
2.117	-0.44
2.117	-0.44
2.116	-0.44
2.116	-0.44
2.116	-0.44
2.116	-0.44
2.117	-0.44
2.117	-0.44
2.117	-0.44
2.116	-0.44
2.117	-0.44
2.117	-0.44
2.117	-0.44
2.117	-0.44
2.117	-0.44
2.117	-0.44
2.117	-0.44
2.117	-0.44
2.118	-0.44
2.118	-0.44
2.118	-0.44
2.119	-0.44
2.124	-0.44
2.127	-0.44
2.127	-0.44
2.131	-0.44
2.131	-0.44
2.130	-0.44
2.130	-0.44
2.130	-0.44
2.131	-0.44
2.130	-0.45
2.130	-0.45
2.130	-0.45
2.130	-0.45
2.131	-0.45
2.133	-0.45
2.132	-0.45
2.131	-0.45
2.127	-0.45
2.127	-0.45
2.123	-0.45
2.123	-0.45
2.123	-0.45
2.124	-0.45
2.124	-0.45
2.282	-0.45
2.114	-0.44
2.114	-0.44
2.114	-0.44
2.115	-0.44
2.115	-0.44
2.115	-0.44
2.115	-0.44
2.116	-0.44
2.118	-0.44
2.117	-0.44
2.117	-0.44
2.117	-0.44
2.117	-0.44
2.116	-0.44
2.114	-0.44
2.114	-0.44
2.114	-0.44
2.115	-0.44
2.115	-0.44
2.115	-0.44
2.115	-0.44
2.116	-0.44
